1	2	8	14	19	23	24
2	1	10	14	16	21	26
3	2	8	13	16	21	27
4	3	5	11	16	20	27
5	4	6	13	19	22	25
6	4	7	15	17	20	27
7	2	8	13	18	21	24
8	1	9	13	17	21	27
9	1	8	13	18	21	26
10	4	9	11	18	23	25
11	1	7	15	19	23	25
12	1	10	14	19	23	26
13	4	8	14	17	23	26
14	1	8	13	17	21	24
15	2	10	13	19	23	25
16	4	6	14	18	22	25
17	4	7	14	17	22	25
18	1	6	12	16	23	25
19	1	7	14	18	20	26
20	3	9	11	18	21	25
21	2	8	13	18	23	27
22	4	5	11	16	23	26
23	1	8	13	16	23	25
24	4	5	15	17	20	26
25	3	10	15	17	21	25
26	1	6	15	18	21	24
27	4	6	15	17	20	24
28	4	10	14	19	22	27
29	1	10	15	16	23	26
30	3	9	12	18	20	25
31	4	7	14	19	21	25
32	1	7	15	19	23	27
33	4	6	15	19	23	26
34	1	8	11	18	20	26
35	2	9	13	16	20	24
36	2	7	15	19	23	27
37	3	5	15	17	20	24
38	4	9	12	16	22	25
39	3	6	14	19	22	25
40	4	7	13	17	22	27
41	1	5	14	19	23	25
42	3	8	11	18	20	24
43	4	5	12	17	20	25
44	4	6	12	16	20	27
45	1	6	12	17	21	24
46	1	7	13	19	23	24
47	1	9	14	18	20	26
48	4	9	13	19	22	26
49	2	5	12	18	20	26
50	3	7	14	19	20	24
51	4	8	11	17	20	26
52	4	9	14	18	21	27
53	4	5	11	17	20	27
54	4	7	11	18	20	27
55	4	6	11	18	23	27
56	3	7	15	17	21	27
57	1	10	14	17	23	26
58	3	8	12	19	20	26
59	1	10	11	17	23	24
60	2	6	11	18	23	24
61	1	10	12	18	20	27
62	3	9	11	18	20	26
63	2	9	12	17	22	25
64	2	9	11	16	22	27
65	4	10	11	16	23	25
66	4	6	11	18	20	25
67	3	10	15	16	22	25
68	3	7	13	16	20	25
69	4	7	11	18	21	27
70	4	7	15	19	23	26
71	3	10	11	19	20	25
72	1	6	14	19	20	25
73	1	9	15	17	21	25
74	4	9	12	17	21	24
75	4	6	12	16	21	27
76	2	5	13	18	23	27
77	1	9	14	16	22	24
78	1	10	15	19	23	27
79	1	5	13	18	20	24
80	3	5	11	18	22	24
81	1	9	15	18	22	24
82	4	9	11	18	20	24
83	2	8	13	16	22	25
84	4	6	13	18	22	26
85	2	10	15	19	20	25
86	1	6	11	16	21	26
87	4	5	14	17	23	27
88	2	7	14	17	22	25
89	4	5	12	16	22	26
90	1	8	12	18	23	24
91	4	9	12	16	23	26
92	4	6	14	16	20	24
93	4	9	13	18	20	26
94	1	10	12	18	20	26
95	4	8	14	16	23	26
96	4	9	13	16	20	26
97	4	8	11	17	21	25
98	4	8	11	16	22	27
99	3	8	12	19	20	24
100	2	6	11	17	23	24
101	3	9	13	18	20	24
102	4	6	15	16	20	27
103	3	7	11	18	20	25
104	1	8	13	16	21	25
105	3	7	13	18	22	27
106	2	8	11	19	21	26
107	4	5	14	17	20	27
108	4	10	13	18	23	27
109	2	10	14	18	20	25
110	4	5	11	18	23	27
111	1	9	12	16	22	24
112	1	7	14	17	23	25
113	3	10	12	16	20	27
114	4	7	15	19	20	27
115	3	10	13	18	20	26
116	3	8	15	16	20	26
117	4	5	12	16	23	25
118	2	7	12	16	20	27
119	4	8	15	17	21	26
120	2	5	14	16	21	27
121	2	5	13	17	20	25
122	2	10	13	19	21	27
123	3	9	13	19	20	27
124	3	8	11	18	20	24
125	2	8	13	16	20	27
126	2	7	12	16	21	26
127	1	6	12	18	22	26
128	3	7	12	16	20	25
129	2	5	12	16	20	26
130	1	8	13	17	21	27
131	2	5	14	16	20	25
132	2	5	12	17	23	27
133	2	7	11	16	22	27
134	4	5	15	16	21	26
135	4	7	12	19	23	24
136	2	9	14	16	22	26
137	2	8	15	17	20	25
138	1	9	11	19	23	25
139	2	9	11	19	20	24
140	2	10	14	18	21	25
141	3	5	13	19	22	27
142	1	8	12	18	20	26
143	2	7	12	19	22	26
144	1	5	15	16	21	24
145	3	6	12	17	20	27
146	1	9	12	17	22	25
147	3	8	13	17	22	27
148	2	7	13	19	23	26
149	2	6	11	19	23	26
150	1	6	12	19	23	25
151	3	5	12	19	20	27
152	3	7	13	17	20	24
153	3	8	12	18	23	27
154	2	10	12	17	20	27
155	1	6	11	17	22	24
156	3	7	15	16	21	24
157	2	7	11	17	23	25
158	2	7	12	17	23	27
159	3	9	15	18	22	27
160	1	6	12	16	23	26
161	1	8	11	18	23	27
162	4	10	15	17	21	27
163	4	9	14	18	21	27
164	4	8	11	18	23	26
165	1	9	15	17	22	24
166	2	10	13	18	22	25
167	2	8	12	18	22	26
168	3	6	12	19	21	27
169	4	7	13	19	20	24
170	3	10	14	17	22	25
171	2	5	15	18	23	24
172	1	5	12	18	20	26
173	2	6	15	17	23	26
174	1	8	12	19	22	25
175	1	5	13	19	22	25
176	4	8	15	16	22	26
177	1	5	14	19	20	27
178	2	10	13	17	21	24
179	1	6	14	18	23	27
180	4	5	15	16	21	27
181	3	6	13	18	23	27
182	2	5	12	16	23	25
183	2	5	14	17	21	27
184	1	7	13	16	20	24
185	1	6	14	18	23	25
186	3	6	11	18	20	25
187	1	10	13	17	20	24
188	3	8	12	19	20	25
189	1	5	11	19	20	25
190	3	6	11	18	22	25
191	1	7	14	18	20	26
192	1	5	14	19	21	26
193	4	7	15	19	22	27
194	1	5	13	18	22	25
195	1	5	11	16	22	24
196	2	10	11	16	23	25
197	2	5	13	18	21	25
198	4	10	11	16	22	25
199	2	9	13	17	20	27
200	2	5	11	18	21	27
201	4	9	15	19	21	25
202	1	10	11	19	20	25
203	2	10	12	16	22	27
204	4	10	11	16	20	27
205	3	5	13	19	23	27
206	2	9	14	19	21	27
207	2	6	14	18	20	26
208	4	7	12	16	21	25
209	1	7	15	16	20	25
210	1	8	13	16	23	24
211	3	6	13	18	20	26
212	3	10	11	16	23	27
213	1	10	14	17	22	27
214	1	7	14	17	22	25
215	1	5	11	18	21	27
216	1	6	14	19	21	26
217	3	5	14	16	22	25
218	3	5	14	19	20	26
219	2	8	15	18	22	26
220	1	9	11	16	22	25
221	1	10	13	17	23	24
222	2	8	14	17	20	26
223	4	9	11	18	21	26
224	2	7	11	17	21	25
225	3	10	14	17	21	25
226	1	6	14	16	23	26
227	1	5	15	17	23	27
228	2	9	11	17	20	25
229	4	7	11	16	20	25
230	2	6	14	16	21	27
231	3	5	12	19	22	24
232	1	10	14	19	22	26
233	3	7	12	16	23	26
234	1	5	12	16	20	24
235	1	6	14	18	20	26
236	4	5	12	16	21	27
237	2	6	14	18	20	26
238	1	6	12	18	23	27
239	2	5	12	19	20	24
240	2	6	12	18	21	27
241	2	5	12	18	20	26
